Id,Name,Gender,Job,House,Wand,Patronus,Species,Blood status,,Eye colour,Loyalty,Skills
1,Harry James Potter,Male,Student,Gryffindor,11  Holly  phoenix feather,Stag,Human,Half-blood,Black,Bright green,Albus Dumbledore | Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Parseltongue| Defence Against the Dark Arts | Seeker
2,Ronald Bilius Weasley,Male,Student,Gryffindor,12 Ash unicorn tail hair ,Jack Russell terrier,Human,Pure-blood,Red,Blue,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Wizard chess | Quidditch goalkeeping
3,Hermione Jean Granger,Female,Student,Gryffindor,10   vine wood dragon heartstring,Otter,Human,Muggle-born,Brown,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Almost everything
4,Albus Percival Wulfric Brian Dumbledore,Male,Headmaster,Gryffindor,15 Elder Thestral tail hair core,Phoenix,Human,Half-blood,Silver| formerly auburn,Blue,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Considered by many to be one of the most powerful wizards of his time
5,Rubeus Hagrid,Male,Keeper of Keys and Grounds | Professor of Care of Magical Creatures ,Gryffindor,16  Oak unknown core,None,Half-Human/Half-Giant,Part-Human (Half-giant),Black,Black,Albus Dumbledore | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Resistant to stunning spells| above average strength | crossbowmanship
6,Neville Longbottom,Male,Student,Gryffindor,13 Cherry unicorn hair,Non-corporeal,Human,Pure-blood,Blond,Unknown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Herbology
7,Fred Weasley,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Beater
8,George Weasley,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Beater
9,Ginevra (Ginny) Molly Weasley,Female,Student,Gryffindor,Unknown,Horse,Human,Pure-blood,Red,Bright brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Chaser| Bat-Bogey hex
10,Dean Thomas,Male,Student,Gryffindor,Unknown,Unknown,Human,Muggle-born,Black,Brown,Dumbledore's Army | Hogwarts School of Witchcraft and Wizardry,Chaser
11,Seamus Finnigan,Male,Student,Gryffindor,Unknown,Fox,Human,Half-blood,Sandy,Unknown,Dumbledore's Army | Hogwarts School of Witchcraft and Wizardry,Pyrotechnics
12,Lily J. Potter,Female,Unknown,Gryffindor,10   Willow  unknown core,Doe,Human,Muggle-born,Auburn,Bright green,Order of the Phoenix,Unknown
13,James Potter,Male,Unknown,Gryffindor,11  Mahogany  unknown core,Stag,Human,Pure-blood,Black,Hazel,Order of the Phoenix,Animagus| Seeker
14,Sirius Black,Male,Unknown,Gryffindor,Unknown,Unknown,Human,Pure-blood,Black,Grey,Order of the Phoenix,Animagus| nonverbal magic| Charms
15,Remus John Lupin,Male,Professor of Defence Against the Dark Arts ,Gryffindor,10  Cypress unicorn hair,Wolf,Werewolf,Half-blood,Light brown flecked with grey,Green,Order of the Phoenix,Exceptionally gifted in Defence Against the Dark Arts
16,Peter Pettigrew,Male,The Servant of Lord Voldemort,Gryffindor,9  Chestnut dragon heartstring,None,Human,Half-blood or Pure-blood,Colourless and balding,Blue,Lord Voldemort| Death Eaters,Animagus
17,Percy Ignatius Weasley,Male,Student|Prefect|  Personal assistant to Barty Crouch Snr ,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Blue,Order of the Phoenix| Hogwarts School of Witchcraft and Wizardry |British Ministry of Magic,Intelligent| hard-working| a model student
18,(Bill) William Arthur Weasley,Male,Curse-Breaker for Gringotts Bank,Gryffindor,Unknown,Unknown,Human (Werewolf traits),Pure-blood,Red,Blue,Order of the Phoenix,Highly skilled curse-breaker for Gringotts Wizarding Bank| very intelligent| past Hogwarts Head Boy
19,Charles Weasley,Male,Dragonologist,Gryffindor,12  Ash unicorn tail hair,Unknown,Human,Pure-blood,Red,Grey,Order of the Phoenix | Gringotts Wizarding Bank,Highly skilled dragon trainer| one-time Gryffindor Seeker
20,Lee Jordan ,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or Half-blood,Black,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Quidditch commentary | broadcasting
21,Oliver Wood,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or Half-blood,Unknown,Unknown,Hogwarts School of Witchcraft and Wizardry,Keeper|  Captain of the Gryffindor Quidditch team
22,Angelina Johnson,Female,Student,Gryffindor,Unknown,Unknown,Human,Unknown,Brown,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser
23,Katie Bell,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or Half-blood,Brown,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser
24,Alicia Spinnet,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or Half-blood,Brown,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser
25,Lavender Brown,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Blond,Blue,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Divination
26,Parvati Patil,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or Half-blood,Dark,Dark,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Divination
27,Romilda Vane,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or Half-blood,Black,Dark,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Spiking Chocolate Cauldrons with love potion
28,Colin Creevey,Male,Student,Gryffindor,Unknown,Unknown,Human,Muggle-born,Mousy,Unknown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Photography
29,Cormac McLaggen,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or Half-blood,Blond,Unknown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Quidditch Keeper
30,Minerva McGonagall,Female,Professor of Transfiguration | Head of Gryffindor,Gryffindor,9  Fir dragon heartstring,Cat,Human,Half-blood,Black,Green,Albus Dumbledore | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Animagus 
31,Molly Weasley,Female,Unknown,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Bright brown,Order of the Phoenix,Household spells| healing magic
32,Arthur Weasley,Male,Head of the Misuse of Muggle Artefacts Office,Gryffindor,Unknown,Weasel,Human,Pure-blood,Red,Green,Order of the Phoenix| British Ministry of Magic,Muggle world works
33,Quirinus Quirrell,Male,Defence Against the Dark Arts(1991-1992),Ravenclaw,9 Alder unicorn hair bendy,Non-corporeal,Human,Half-blood,Unknown,Unknown,Lord Voldemort,Learned in the theory of Defensive Magic| less adept in the practise
34,Cho Chang,Female,Student,Ravenclaw,Unknown,Swan,Human,Pure-blood or Half-blood,Black,Dark,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Seeker
35,Luna Lovegood,Female,Student,Ravenclaw,Unknown,Hare,Human,Pure-blood or Half-blood,Dirty-blonde,Pale silvery,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Spotting Nargles
36,Gilderoy Lockhart,Male,Defence Against the Dark Arts(1992-1993),Ravenclaw,9 Cherry dragon heartstring,Non-corporeal,Human,Half-blood,Blond,Blue,Unknown,Unknown
37,Filius Flitwick,Male,Professor of Charms | Head of Ravenclaw,Ravenclaw,Unknown,Non-corporeal,Human(goblin ancestry),Part-Goblin,White,Unknown,Unknown,Charms
38,Sybill Patricia Trelawney,Female,Professor of Divination,Ravenclaw,9    hazel unicorn hair core,Non-corporeal,Human,Half-blood,Unknown,Unknown,Unknown,A Seer
39,Garrick Ollivander,Male,Wandmaker,Ravenclaw,12  Hornbeam dragon heartstring,Non-corporeal,Human,Half-blood,Unknown,Silvery,Unknown,An incomparable understanding of wandcraft
40,Myrtle Elizabeth Warren (Moaning Myrtle),Female,Student,Ravenclaw,Unknown,Unknown,Ghost,Muggle-born,Unknown,Unknown,Unknown,Unknown
41,Padma Patil,Female,Student,Ravenclaw,Unknown,Non-corporeal,Human,Pure-blood or Half-blood,Dark,Dark,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Prefect
42,Michael Corner,Male,Student,Ravenclaw,Unknown,Squirrel,Human,Half-blood,Black,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Potions
43,Marietta Edgecombe,Female,Student,Ravenclaw,Unknown,Unknown,Human,Pure-blood or Half-blood,Reddish-blonde,Grey,Unknown,Covering up the spots that blight her face after betraying Dumbledore's Army
44,Terry Boot,Male,Student,Ravenclaw,Unknown,Unknown,Human,Pure-blood or Half-blood,Unknown,Unknown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Potions
45,Anthony Goldstein,Male,Student,Ravenclaw,Unknown,Non-corporeal,Human,Half-blood,Blonde,Grey,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Prefect
46,Severus Snape,Male,Professor of Potions | Head of Slytherin,Slytherin,Unknown,Doe,Human,Half-blood,Black,Black,Unknown,Extremely skilled at potions and Occlumency
47,Draco Malfoy,Male,Student,Slytherin,10 Hawthorn unicorn hair,Unknown,Human,Pure-blood,White-blond,Grey,Unknown,Prefect
48,Vincent Crabbe,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,Black,Black,Unknown,Beater
49,Gregory Goyle,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,Brown,Unknown,Unknown,Beater
50,Bellatrix Lestrange,Female,Unknown,Slytherin,12  Walnut dragon heartstring,Unknown,Human,Pure-blood,Black,Unknown,Lord Voldemort  | Death Eaters,She is a duellist of great skill and an experienced Occlumens
51,Dolores Jane Umbridge,Female,Professor of Defence Against the Dark Arts | Department of Magical Law Enforcement,Slytherin,8 Birch dragon heartstring,Cat,Human,Half-blood,Iron grey,Unknown,Ministry of Magic,Her punishment quill is of her own invention
52,Horace Eugene Flaccus Slughorn,Unknown,Professor of Potions ,Slytherin,10  Cedar dragon heartstring fairly flexible,Non-corporeal,Human,Pure-blood or Half-blood,Bald,Gooseberry,Unknown,Accomplished Occlumens
53,Lucius Malfoy,Male,School Governor,Slytherin,Elm and dragon heartstring,Unknown,Human,Pure-blood,White-blond,Grey,Lord Voldemort  | Death Eaters,Skilled duellist and potioneer
54,Narcissa Malfoy,Female,Unknown,Slytherin,Unknown,Unknown,Human,Pure-blood,Blonde,Blue,Lord Voldemort  | Death Eaters,Unknown
55,Regulus Arcturus Black,Male,Unknown,Slytherin,Unknown,Non-corporeal,Human,Pure-blood,Black,Unknown,Unknown,Seeker
56,Pansy Parkinson,Female,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or Half-blood,Unknown,Unknown,Unknown,Prefect
57,Blaise Zabini,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or Half-blood,Black,Brown,Unknown,Chaser
58,Tom Marvolo Riddle,Male,Student,Slytherin,13  Yew phoenix feather core,Unknown,Human,Half-blood,Bald,Scarlet ,Unknown,Dark Lord
59,Theodore Nott,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,Brown,Unknown,Unknown,Unknown
60,Rodolphus Lestrange,Male,Unknown,Slytherin,Unknown,Unknown,Human,Pure-blood,Dark,Dark,Lord Voldemort  | Death Eaters,Unknown
